model_id,monthly_downloads,total_downloads
Triangle104/aya-expanse-8b-abliterated-Q6_K-GGUF,1,229
darkc0de/Xortron22B-Uncensored-Q5_K_M-GGUF,1,73
featherless-ai-quants/OwenArli-ArliAI-Llama-3-8B-Dolfin-v0.6-Abliterated-GGUF,24,603
itorgov/dippy-roleplay-1748039481-5076659,0,5
mlabonne/gemma-3-1b-it-qat-abliterated,6,266
BlossomsAI/Qwen2.5-Coder-14B-Instruct-Uncensored,11,265
ibrahimkettaneh/Qwen2.5-14B-Instruct-abliterated-AWQ,134,384
ssbagpcm/Josiefied-Qwen3-0.6B-abliterated-v1-Q2_K-GGUF,12,140
Triangle104/thirdeyeai-Llama-3.2-3B-Instruct-uncensored-Q6_K-GGUF,11,208
SicariusSicariiStuff/LLAMA-3_8B_Unaligned_Alpha_RP_Soup_GGUF,20,3903
mradermacher/Huihui-Qwen3-1.7B-abliterated-v2-i1-GGUF,356,7728
EZCon/Qwen2.5-VL-3B-Instruct-abliterated-mlx,NaN,NaN
fhai50032/Unaligned-Thinker-PHI-4,22,550
TheBloke/llama2_7b_chat_uncensored-GPTQ,110,19804
C-Nocturnum/DeepSeek-R1-Distill-Llama-8B-abliterated,2,12
Nitrals-Loras/DeepseekR1-Distill-Uncensored-L3-8B-alt-v1-lora,0,5
Apel-sin/deepseek-r1-distill-qwen-32B-abliterated-exl2,4,6
DataSoul/Sky-T1-32B-Flash-abliterated-merge1.618-Q4_K_M-GGUF,1,94
Massine10/Diffusion-model-with-no-safety-checker,1,101
aifeifei798/DrakIdol-Roleplayer-1.0,51,246
featherless-ai-quants/grimjim-Llama-3.1-8B-Instruct-abliterated_via_adapter-GGUF,43,1253
V3N0M/Jenna-Uncensored-v2,0,0
TheBloke/Uncensored-Frank-33b-GPTQ,5,648
cs2764/GLM-4-9B-0414-abliterated-Q8_0-GGUF,4,286
Triangle104/llama3.2-3b-uncensored-Q5_K_S-GGUF,0,69
Triangle104/UwU-7B-Instruct-abliterated-Q5_K_S-GGUF,5,169
mradermacher/Guanaco-Frank-Jordan-13B-uncensored-GGUF,12,1328
Triangle104/OpenThinker-7B-abliterated-Q5_K_S-GGUF,4,183
Viscoke/unaligned,0,0
thirdeyeai/SmolLM2-1.7B-Instruct-Uncensored,33,542
mradermacher/gemma-3-4b-it-uncensored-GGUF,337,7387
Triangle104/Josiefied-DeepSeek-R1-0528-Qwen3-8B-abliterated-v1-Q8_0-GGUF,97,1907
matatonic/GLM-4-32B-0414-abliterated-Q8_0-GGUF,0,97
mradermacher/Llama_3.x_70b_FLDx2-L3.3_abliterated_fusion_norm-i1-GGUF,3,1156
mradermacher/gemma-3-27b-it-abliterated-i1-GGUF,546,19297
Triangle104/granite-3.1-8b-instruct-abliterated-Q8_0-GGUF,16,193
GHArt/Hentai_Mix_XL_Road_to_freedom_V2.1_xl_fp16,0,2
Freeda-Felix-Kakara/first,0,0
roleplaiapp/Qwen2.5-Coder-14B-Instruct-Uncensored-Q5_K_S-GGUF,8,165
EleutherAI/early-unlearning-unfiltered-ga-1-in-209-ga-lr-scale-0_001-gclip-1_0,0,62
mradermacher/gemma-2-Ifable-abliterated-9B-untied-i1-GGUF,79,2562
DavidAU/Qwen3-The-Xiaolong-Omega-Directive-22B-uncensored-abliterated-GGUF,390,4396
jiminmun/llama-3.2-3b_reward_model_data-mix_lr9e-6_no_sys_msg_unfiltered,0,41
FreedomIntelligence/DiagnosisGPT-34B,4,189
v000000/Llama-3.1-8B-Stheno-v3.4-abliterated-GGUF,1,442
TheBloke/WizardLM-7B-V1.0-Uncensored-AWQ,3,1099
PrunaAI/sloshywings-llama3.2-3b-uncensored-bnb-smashed,NaN,NaN
BenevolenceMessiah/Qwen2.5-Coder-7B-Instruct-abliterated-TIES-v2.0,2,148
huihui-ai/Llama-3.1-Tulu-3-8B-abliterated,NaN,NaN
mradermacher/Llama-3-DeepSeek-R1-Distill-8B-LewdPlay-Uncensored-i1-GGUF,229,10207
Anarchist/llama-bad-roleplay,6,377
Triangle104/Qwen3-The-Josiefied-Omega-Directive-22B-uncensored-abliterated-Q5_K_S-GGUF,1,82
Neopix/Test-2-Uncensor-llama3.2-1b,0,0
Triangle104/Huihui-Qwen3-1.7B-abliterated-v2-Q8_0-GGUF,9,104
huihui-ai/Lucie-7B-Instruct-abliterated,NaN,NaN
mradermacher/L3.1-Dark-Reasoning-Celeste-V1.2-Hermes-R1-Uncensored-8B-i1-GGUF,2657,5680
dabr1/Phi-3.5-mini-instruct_Uncensored-Q4_0_4_8.gguf,77,6550
AlignmentResearch/robust_llm_oskar-037b_clf_jailbreaks_Qwen2.5-7B_s-0,NaN,NaN
AlignmentResearch/robust_llm_oskar-034w_input_probe_jailbreaks_Qwen2.5-7B-Instruct_s-0,NaN,NaN
jnjj/gemma-3-1b-it-qat-int4-quantized-inference-unrestricted-pruned-addquant-sf,0,7
Felladrin/gguf-gemma-2-2b-it-abliterated,5,541
numen-tech/Llama-3.2-1B-Instruct-abliterated-q0f16,0,0
FreedomIntelligence/AceGPT-13B,32,29033
mradermacher/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES-i1-GGUF,120,6818
roleplaiapp/Qwen2.5-14B-DeepSeek-R1-1M-Uncensored-Q4_K_M-GGUF,17,1422
PrunaAI/aifeifei798-DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-bnb-4bit-smashed,NaN,NaN
tetsajin/Josiefied-Qwen3-14B-abliterated-v3-Q6_K-GGUF,1,207
cgus/granite-3.1-8b-instruct-abliterated-exl2,5,113
mlx-community/Josiefied-Qwen3-4B-abliterated-v1-4bit,1478,10897
RichardErkhov/Orion-zhen_-_Qwen2.5-7B-Instruct-Uncensored-gguf,109,3566
PrunaAI/IlyaGusev-gemma-2-2b-it-abliterated-QUANTO-float8bit-smashed,NaN,NaN
tinybiggames/gemma-3-4b-it-abliterated-GGUF,5,114
DevQuasar/huihui-ai.DeepScaleR-1.5B-Preview-abliterated-GGUF,38,1478
Triangle104/Huihui-EXAONE-Deep-2.4B-abliterated-Q8_0-GGUF,8,60
BKM1804/Llama-3-8B-Lexi-Uncensored-ec0a3e47-0faa-4164-a9c5-9fb0ea100a33-phase1,0,0
warshanks/Josiefied-Qwen3-4B-abliterated-v2-AWQ,3,69
the-acorn-ai/simon-qwen3-4b-base-kp-4k-self-play-with-role-step_00064,0,8
DavidAU/MPT-7b-WizardLM_Uncensored-Storywriter-Merge-Q4_K_M-GGUF,NaN,NaN
ycros/WizardLM-33B-V1.0-Uncensored-SuperHOT-8k-GGML,0,0
MetaphoricalCode/gemma3-27b-abliterated-dpo-exl3-4bpw-hb6,2,8
Triangle104/Huihui-EXAONE-4.0-1.2B-abliterated-Q8_0-GGUF,9,103
braindao/Qwen3-14B-Uncensored-experimental-v04,3,54
mradermacher/gemma-3-27b-it-abliterated-v2-i1-GGUF,79,4751
mlx-community/Josiefied-Qwen3-14B-abliterated-v3-bf16,13,351
legraphista/Meta-Llama-3-70B-Instruct-abliterated-v3.5-IMat-GGUF,331,43895
TheBloke/WizardLM-7B-V1-0-Uncensored-SuperHOT-8K-GGML,0,0
BlossomsAI/SeaLLMs-v3-1.5B-Chat-Uncensored,9,718
PurpleAILAB/Llama3.1-8B-uncensored-SQLi_LoRA,0,0
dthryjdrk/Qwen2.5-VL-7B-Instruct-abliterated-Q8_0-GGUF,100,1476
mradermacher/Megrez-3B-Instruct-abliterated-i1-GGUF,192,3100
RahulTumma/hermes-llama3-roleplay-2000-v2,3,80
PantiPenti/DeepSeek-R1-Distill-Qwen-32B-Uncensored-mlx-6Bit,0,0
tensorblock/Llama-3-8B-Instruct-abliterated-v2-GGUF,287,2125
poteminr/jailbreak_detector_v2,1,655
mradermacher/DarkDareDevilAura-abliterated-uncensored-OAS-8b-i1-GGUF,140,4087
mradermacher/ZEUS-8B-V2-abliterated-i1-GGUF,17,3405
Triangle104/DeepHermes-3-Llama-3-8B-Preview-Uncensored-DeLMAT-Q8_0-GGUF,4,133
rishi-3bigs/llama2-7b-finetuned-unfiltered-8epochs,2,188
bunnycore/Phi-3-mini-Uncensored-lora,0,0
Triangle104/Qwen2.5-32B-Instruct-abliterated-SFT-Q3_K_S-GGUF,3,49
keisoft/dippy-roleplay-llama-v08,1,11
Binancenode/uncensored,0,0
RichardErkhov/Goekdeniz-Guelmez_-_Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v2-gguf,5,1137
realoperator42/Huihui-gemma-3n-E4B-it-abliterated-Q4_K_M-GGUF,19,135
Triangle104/L3.1-Dark-Reasoning-Halu-Blackroot-Hermes-R1-Uncensored-8B-Q5_K_M-GGUF,1,10
gghfez/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF,3,250
MaziyarPanahi/Llama-3-8B-LexiFun-Uncensored-V1-GGUF,76,1760
ZeroWw/Phi-3.5-mini-instruct_Uncensored-GGUF,27,3146
Zoyd/TheSkullery_Aura-Llama-Abliterated-6_5bpw_exl2,5,16
drwlf/medgemma-27b-it-abliterated,1,50
PrunaAI/cognitivecomputations-Llama-3-8B-Instruct-abliterated-v2-bnb-8bit-smashed,NaN,NaN
PrunaAI/IlyaGusev-gemma-2-2b-it-abliterated-HQQ-4bit-smashed,NaN,NaN
pratt3000/Mistral-Nemo-2407-Role-Playing-LORA-4data-ga16-lr7e6-2ep-DPO,0,32
PrunaAI/cognitivecomputations-Llama-3-8B-Instruct-abliterated-v2-AWQ-4bit-smashed,NaN,NaN
Triangle104/DeepHermes-3-Llama-3-8B-Preview-Uncensored-DeLMAT-Q5_K_M-GGUF,6,100
mradermacher/LLAMA-3_8B_Unaligned_BETA-i1-GGUF,29,2833
mradermacher/medgemma-27b-text-it-abliterated-GGUF,33,1107
Dabitron/Qwen2-7B-Instruct-abliterated-Q4_K_M-GGUF,1,619
mradermacher/Eidolon-v3-14B-abliterated-i1-GGUF,0,210
Triangle104/Huihui-Qwen3-14B-abliterated-v2-Q5_K_M-GGUF,49,299
mradermacher/Huihui-MoE-46B-A14B-abliterated-i1-GGUF,54,12398
mradermacher/llama3-8B-DarkIdol-2.3-Uncensored-32K-i1-GGUF,250,23281
mradermacher/WizardLM-33B-V1.0-Uncensored-GGUF,37,1495
X3NO/Llama-3.2-3B-Instruct-uncensored-Q4_K_M-GGUF,5,117
stepenZEN/DeepSeek-R1-Distill-Qwen-32B-abliterated,9,279
wesley7137/wizard-vicuna-7b-uncensored,4,499
jiminmun/llama-3.2-3b_ppo_lr5e-07_rm_avg_w_sys_msg_unfiltered,1,10
concedo/Vicuzard-30B-Uncensored,1248,50754
mradermacher/OpenThinker-7B-abliterated-GGUF,9,2527
mradermacher/Qwen2.5-7B-nerd-uncensored-v1.4-GGUF,17,1587
ChangeXy/ppl-combined_unsafe_Q3_Q7_qwen2.5-14b-instruct-1ep,0,0
uncensoredai/Mistral-Small-24B-Instruct-2501,19,1700
Zoyd/failspy_Phi-3-medium-4k-instruct-abliterated-v3-8_0bpw_exl2,4,11
Triangle104/GLM-4-9B-0414-abliterated-Q5_K_M-GGUF,0,124
itorgov/dippy-roleplay-1748038485-3737216,0,6
mradermacher/Qwen3-32B-Uncensored-i1-GGUF,736,24124
aifeifei799/Phi-3-mini-128k-instruct-abliterated-v3-Q5_K_M-GGUF,4,146
LoneStriker/SOLAR-10.7B-Instruct-v1.0-uncensored-5.0bpw-h6-exl2-2,3,219
MetaphoricalCode/gemma-3-27b-it-abliterated-exl3-4bpw-hb6,72,213
mradermacher/Guanaco-3B-Uncensored-v2-GGUF,53,1136
Triangle104/Roleplay-Hermes-3-Llama-3.1-8B-Q5_K_S-GGUF,0,19
kurays/T-lite-instruct-0.1-abliterated-Q4_K_M-GGUF,2,181
PrunaAI/aifeifei798-llama3-8B-DarkIdol-2.3-Uncensored-32K-bnb-4bit-smashed,NaN,NaN
TheBloke/Wizard-Vicuna-7B-Uncensored-SuperHOT-8K-GPTQ,13,2980
gtallec/lora-r8-s1000-unfiltered,0,0
matatonic/Qwen2.5-Coder-0.5B-Instruct-abliterated-6.5bpw-h8-exl2,5,74
AlignmentResearch/robust_llm_de2d8a0c60b111ef8920d227b6567c85_from_rllm_pythia-14m_clf_spam_v-ian-082_s-0,NaN,NaN
mradermacher/WizardLM-30B-Uncensored-GGUF,58,2486
nightmedia/LLama-3.1-128k-Darkest-Planet-Uncensored-16.5B-q4-mlx,NaN,NaN
Triangle104/DeepSeek-R1-Distill-Qwen-14B-abliterated-v2-Q4_K_S-GGUF,3,728
Alptekinege/Huihui-MoE-12B-A4B-abliterated-Q6_K-GGUF,8,666
TheBloke/Uncensored-Frank-33b-AWQ,20,457
RichardErkhov/huihui-ai_-_Qwen2.5-Coder-1.5B-Instruct-abliterated-awq,3,9
mradermacher/Qwen2.5-14B-Instruct-1M-Unalign-i1-GGUF,41,1875
mradermacher/GPT-OSS-26B-abliterated-Preview-i1-GGUF,2170,9292
Novaciano/SEX_ROLEPLAY-3.2-1B-mlx-8Bit,130,830
troyweber23/uncensored,0,0
nicoboss/Meta-Llama-3.1-8B-Instruct-abliterated-ICONN-1-BasicChat-Lora,2,214
matrixportalx/gemma-3-1b-it-abliterated-GGUF,75,3262
isogen/Josiefied-Qwen3-1.7B-abliterated-v1-exl3-8bpw-h8,2,34
huihui-ai/Huihui-Mistral-Small-3.2-24B-Instruct-2506-abliterated,184,1035
ndavidson/phi-3.1-qlora-blend-dpo-abliterated,2,11
AlignmentResearch/robust_llm_oskar-034n_probe_jailbreaks_Qwen2.5-1.5B-Instruct_s-0,NaN,NaN
NexesMess/Llama-3.3-Nemotron-70B-Instruct-Abliterated-TA_v0.10,4,95
ICEPVP8977/Uncensored_Qwen2-7B,66,3181
AlignmentResearch/robust_llm_oskar-041n_clf_jailbreaks_Qwen2.5-7B_s-0,NaN,NaN
MaziyarPanahi/llama3-8B-DarkIdol-2.1-Uncensored-1048K-GGUF,42,1353
openerotica/Mistral-Small-Instruct-2409-abliterated-4.5bpw-exl2,4,339
Triangle104/Qwen2.5-1.5B-Instruct-abliterated-SFT-Q5_K_M-GGUF,2,41
itorgov/dippy-roleplay-1747272468-0429628,2,7
mradermacher/DeepSeek-R1-Distill-Qwen-7B-abliterated-i1-GGUF,95,4388
isogen/Josiefied-Qwen3-8B-abliterated-v1-exl3-6bpw,3,50
cgifbribcgfbi/Llama-3.3-70B-Instruct-abliterated-finetuned-chem-claude-1-comp0-sort-rand,0,3
matrixportalx/DeepSeek-R1-Distill-Llama-8B-Abliterated-Q4_K_M-GGUF,13,253
mradermacher/OpenThinker2-32B-Uncensored-GGUF,86,1630
mradermacher/gemma-3-4b-it-abliterated-v2-GGUF,38,1434
Rupesh2/Llama-3-8B-abliterated,1,10
Aluba/Unlock_2,NaN,NaN
MetaphoricalCode/gemma-3-27b-it-abliterated-exl3-6bpw-hb6,7,52
Goekdeniz-Guelmez/Josiefied-Qwen2.5-3B-Instruct-abliterated-v1,11,619
s3nh/WizardLM-1.0-Uncensored-Llama2-13b-GGML,NaN,NaN
PrunaAI/IlyaGusev-gemma-2-9b-it-abliterated-HQQ-2bit-smashed,NaN,NaN
Triangle104/Huihui-Qwen3-8B-abliterated-v2-Q4_K_S-GGUF,42,148
DavidAU/L3.2-Rogue-Creative-Instruct-Uncensored-7B-GGUF,1431,29735
mlx-community/Llama-3.2-11B-Vision-Instruct-abliterated-8-bit,109,1286
nightmedia/Huihui-Qwen3-30B-A3B-Thinking-2507-abliterated-q6-hi-mlx,NaN,NaN
keisoft/roleplay-llama3dot1-100,0,4
mradermacher/Llama-3.2-3B-Instruct-abliterated-finetuned-i1-GGUF,43,7854
PrunaAI/M1LL1X-microsoft-phi-3_5-mini-trained-abliterated-QA-1960-all-modules-merged-bnb-8bit-smashed,NaN,NaN
asunsada/gemma-7b-it-v2-role-play,0,0
Triangle104/Huihui-Qwen3-8B-abliterated-v2-Q5_K_S-GGUF,6,61
mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-4bit,22,4001
mudler/Aura-Llama-Abliterated-Q4_K_M-GGUF,1,279
player1537/Bloom-560m-trained-on-Wizard-Vicuna-Uncensored,4,579
mradermacher/ZEUS-8B-V2-abliterated-GGUF,2,1515
itorgov/dippy-roleplay-1748038643-1708941,0,5
DataSoul/Rombo-LLM-V3.1-QWQ-32b-abliterated-Q5_K_S-GGUF,3,170
Aashraf995/OpenCoder-8B-Instruct-abliterated-Q4_K_M-GGUF,2,128
FreedomIntelligence/chimera-inst-chat-7b-delta,6,436
roleplaiapp/Qwen2.5-7B-Instruct-Uncensored-Q2_K-GGUF,2,104
Zoyd/failspy_Meta-Llama-3-70B-Instruct-abliterated-v3.5-3_75bpw_exl2,3,11
MaziyarPanahi/MFANN-Llama3.1-Abliterated-Slerp-TIES-GGUF,22,866
netcat420/MFANN-Llama3.1-Abliterated-SLERP-TIES-V2-Q5_K_M-GGUF,0,11
mradermacher/Dolphin3.0-Llama3.1-1B-abliterated-i1-GGUF,7,1643
nightmedia/Huihui-Qwen3-Coder-30B-A3B-Instruct-abliterated-q4-hi-mlx,NaN,NaN
SzilviaB/SzilviaB-Daredevil-LongWriter-8B_abliterated-Q8_0-GGUF,4,173
pratt3000/Mistral-Nemo-2407-Role-Playing-Final-4data_ga16_lr7e6_4ep-baseDPO,0,56
Darkhn-Graveyard/Abliterated-Unhinged-RP-Alpha-V1-Llama-3.3-70B,NaN,NaN
Triangle104/Qwen2.5-7B-Instruct-Uncensored-Q6_K-GGUF,5,338
c3rx/unlockFlux,0,0
oskarraszkiewicz/gemma-3-1b-it-abliterated-mlx-4bit,8,149
Alex01837178373/saiga_gemma2_9b_abliterated_sft_m2_d8-Q4_K_M-GGUF,0,23
Triangle104/Qwen2.5-1.5B-Instruct-abliterated-Q5_K_M-GGUF,3,170
altomek/WizardLM-33B-V1.0-Uncensored-GGUF,10,56
AlignmentResearch/robust_llm_oskar-035b_clf_jailbreaks_pythia-70m_s-1,NaN,NaN
ADT7/hermes-llama3-roleplay-2000-v15,0,9
PrunaAI/cognitivecomputations-WizardLM-7B-Uncensored-HQQ-8bit-smashed,NaN,NaN
AlignmentResearch/robust_llm_oskar-037g_clf_jailbreaks_Qwen2.5-3B_s-0,NaN,NaN
Zoyd/failspy_Phi-3-medium-4k-instruct-abliterated-v3-2_2bpw_exl2,4,10
RichardErkhov/failspy_-_Meta-Llama-3-8B-Instruct-abliterated-v3-gguf,136,2810
Triangle104/granite-3.2-8b-instruct-abliterated-Q5_K_M-GGUF,4,101
async0x42/Qwen2.5-32B-Instruct-abliterated-exl2_4.65bpw,6,13
mlx-community/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v1-4bit,23,5514
mradermacher/mistral-7b-roleplay-alpaca-merge-GGUF,7,713
QuixiAI/WizardLM-1.0-Uncensored-Llama2-13b,26,32346
huihui-ai/Huihui-Jan-v1-4B-abliterated,66,356
mradermacher/DeepseekR1-Distill-Uncensored-L3-8B-alt-v1-GGUF,73,2555
mradermacher/Huihui-Jan-nano-128k-abliterated-GGUF,25,1815
mradermacher/Dolphin3.0-R1-Mistral-24B-abliterated-i1-GGUF,213,5882
RichardErkhov/zetasepic_-_Qwen2.5-32B-Instruct-abliterated-pass2-gguf,4,1182
Sophiah67/gemma-3-4b-it-abliterated-ollama-Q4_K_M-GGUF,0,0
DavidAU/SOLAR_Uncensored_Luna_10.7B-Q6_K-GGUF,NaN,NaN
assoni2002/Hubert_jailbreak_finetune,2,41
keisoft/dippy-roleplay-llama-v19,1,8
svjack/Genshin_Impact_Qwen_1_5_Plot_Chat_Half_roleplay_chat_lora_small,0,0
Triangle104/aya-expanse-32b-abliterated-Q5_K_M-GGUF,2,12
RichardErkhov/slZheng077_-_dp_roleplay_v3-awq,1,8
nicoboss/qqWen-32B-RL-Reasoning-abliterated,1,24
mradermacher/qwen2.5-.5b-abliterated-GGUF,58,1592
Aidan8756/Nullvayne-b1.58-2B-4T-uncensored,4,89
anantkaal/safe_unsafe_behaviour,0,0
bartowski/LLAMA-3_8B_Unaligned_Alpha-GGUF,189,32200
loopaz11/jchat-Llama-3.1-8B-Lexi-Uncensored-V2,NaN,NaN
Phantomcloak19/Qwen2.5_Jailbreak,0,44
Darkhn/Roleplay-Unhinged-Base-V1-Llama-3.3-70B,NaN,NaN
PrunaAI/TheBloke-Wizard-Vicuna-30B-Uncensored-GPTQ-GGUF-smashed,164,3435
PrunaAI/FreedomIntelligence-AceGPT-7B-GPTQ-8bit-smashed,NaN,NaN
Novaciano/Judas-The-Uncensored-3.2-1B-Q4_K_M-GGUF,10,189
nytopop/Qwen3-4B-abliterated.w8a8,1,80
solidrust/Llama-3-8B-Instruct-abliterated-v2-AWQ,13,260
blockblockblock/llama-3-70B-Instruct-abliterated-bpw4.4-exl2,5,10
jiminmun/llama-3.2-3b_reward_model_avoidbias_lr9e-6_no_sys_msg_unfiltered,1,10
bigwinboy/DeepSeek-R1-Distill-Llama-8B-abliterated-Q4_K_M-GGUF,12,384
mitkox/gemma-2b-dpo-uncensored-4bit,920,11924
roleplaiapp/Qwen2.5-14B-DeepSeek-R1-1M-Uncensored-Q3_K_L-GGUF,14,1805
mradermacher/DeepHermes-3-Llama-3-8B-Preview-Uncensored-DeLMAT-i1-GGUF,111,5123
BahamutRU/T-lite-instruct-0.1-abliterated-8.0bpw-h8-exl2,NaN,NaN
Triangle104/Huihui-MoE-23B-A4B-abliterated-Q3_K_S-GGUF,1,34
mradermacher/Llama-3.1-128k-Dark-Planet-Uncensored-8B-GGUF,92,3021
evolveon/Qwen3-14B-abliterated,2,59
gtallec/lora-r16-s1000-unfiltered-eot-fix,0,0
BackdoorLLM/Jailbreak_Llama2-7B_MTBA,0,0
mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,2712,792283
l3utterfly/WizardLM-2-7B-abliterated-gguf,113,1917
wolfofbackstreet/DeepSeek-R1-Distill-Qwen-14B-abliterate-int4-qptq-v1,0,9
mradermacher/Elita-0.1-Distilled-R1-abliterated-GGUF,90,1847
bartowski/Llama-3.3-70B-Instruct-abliterated-GGUF,2142,68857
Triangle104/s1.1-32B-abliterated-Q3_K_M-GGUF,6,179
gtallec/lora-r1-s1000-unfiltered,0,0
Devarui379/VersatiLlama-Llama-3.2-3B-Instruct-Abliterated,7,619
FreedomIntelligence/ALLaVA-Phi3-mini-128k,3,835
MrDevolver/DeepSeek-R1-Distill-Qwen-14B-uncensored-Q4_K_M-GGUF,10,198
lunahr/Phi-4-mini-instruct-abliterated,4,890
stephenlzc/Llama-3-8B-Lexi-Uncensored-Q2_K-GGUF,18,576
mradermacher/EVA-abliterated-Qwen2.5-7B-i1-GGUF,34,3106
mradermacher/A.X-4.0-abliterated-GGUF,5,267
mradermacher/Qwen2.5-72B-Instruct-abliterated-2x-TIES-v1.0-i1-GGUF,137,2623
Triangle104/OpenThinker-32B-abliterated-Q3_K_S-GGUF,5,87
DevQuasar/huihui-ai.Huihui-SmolLM3-3B-abliterated-GGUF,26,3386
Triangle104/Josiefied-Qwen3-8B-abliterated-v1-Q4_K_M-GGUF,12,83
mradermacher/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B-GGUF,232,2639
netcat420/Qwen2.5-Coder-Scholar-7B-Abliterated-MFANN-Q4_K_M-GGUF,0,8
mradermacher/LLAMA-3_8B_Unaligned_Alpha-i1-GGUF,85,17651
huihui-ai/Tess-R1-Limerick-Llama-3.1-70B-abliterated,NaN,NaN
evolveon/Mistral-7B-Instruct-v0.3-abliterated,22,1389
ngxson/LoRA-QwQ-32B-Preview-abliterated,0,0
mradermacher/Huihui-Hunyuan-MT-Chimera-7B-abliterated-GGUF,130,5856
Devarui379/VersatiLlama-Llama-3.2-3B-Instruct-Abliterated-Imatrix-GGUF,46,3323
itorgov/dippy-roleplay-1748142256-1914742,0,7
harrison51147/Llama-3-Instruct-abliteration-LoRA-8B-F16-GGUF,2,46
Jackstarrealyt/TorqueTheShellduck-FreedomPlanet,0,0
mav23/Llama-3-8B-Lexi-Uncensored-GGUF,106,2512
feelconstantfear/gemma-2-2b-it-abliterated-Q8_0-GGUF,1,253
Merlinoz11/GLM-4-32B-0414-abliterated-Q5_K_M-GGUF,NaN,NaN
huihui-ai/Qwen2.5-0.5B-Instruct-abliterated-v2,NaN,NaN
mrsobakin/saiga_gemma2_9b_abliterated_sft_m3_d9_abliterated-Q4_K_M-GGUF,5,5100
Zoyd/failspy_Phi-3-medium-4k-instruct-abliterated-v3-2_5bpw_exl2,4,129
cgus/Qwen2.5-14B-Instruct-abliterated-v2-exl2,14,297
Triangle104/Huihui-Qwen3-0.6B-abliterated-v2-Q4_K_M-GGUF,6,85
tensorblock/huihui-ai_Huihui-Qwen3-1.7B-abliterated-v2-GGUF,78,2345
Triangle104/DeepHermes-3-Llama-3-8B-Preview-Uncensored-DeLMAT-Q6_K-GGUF,4,146
joeljunior2/Llama-3-8B-Lexi-Uncensored,0,0
YuHaaa/Qwen2.5-72B-Instruct-abliterated-mlx-4Bit,29,221
mlx-community/Qwen2.5-VL-3B-Instruct-abliterated-6bit,38,184
DevQuasar/huihui-ai.Llama-3_1-Nemotron-51B-Instruct-abliterated-GGUF,24,803
mradermacher/roleplay-no-system-i1-GGUF,193,4472
mradermacher/DarkIdol-1.2-8B-Instruct-Uncensored-GGUF,84,2955
mradermacher/Huihui-EXAONE-Deep-7.8B-abliterated-GGUF,7,2378
mradermacher/Hermes-Storm-Climate-Sauerkraut-abliterated-GGUF,3,1528
mradermacher/Datarus-R1-14B-preview-abliterated-i1-GGUF,123,4653
GhostMoney0007/GhostUltronWizardLLM-7B-Uncensored,0,0
huihui-ai/Dolphin3.0-Llama3.1-8B-abliterated,173,4733
Zenabius/Mistral-Small-24B-Instruct-2501-abliterated-Q6_K-GGUF,15,183
PrunaAI/w4r10ck-SOLAR-10.7B-Instruct-v1.0-uncensored-HQQ-1bit-smashed,NaN,NaN
QuantFactory/Meta-Llama-3-8B-Instruct-abliterated-v3-GGUF,392,6855
mradermacher/Josiefied-Qwen2.5-7B-Instruct-abliterated-i1-GGUF,157,7096
nvhf/DeepScaleR-1.5B-Preview-abliterated-Q6_K-GGUF,0,60
FreedomIntelligence/HuatuoGPT2-13B,30,1590
Nitrals-Loras/DeepseekR1-Distill-Uncensored-L3-8B-v0.8e2-lora,0,6
Novaciano/Qwen2.5-1.5B-Uncensored_Neurotic_Spanish-Q6_K-GGUF,7,121
RichardErkhov/evolveon_-_Qwen2.5-7B-Instruct-abliterated-gguf,19,1850
mradermacher/Nidum-gemma-3-27B-it-Uncensored-GGUF,330,13706
CharlesLi/llama_3_unsafe_llama_2,199,210
Rapierd/Llama-3.2-1B-Instruct-Uncensored-GGUF,2,23
ToastyPigeon/Mistral-Small-24B-Instruct-Unalign-Q4_K_M-GGUF,2,13
abischoff/word-alignment-de-en,0,8
FreedomIntelligence/phoenix-inst-chat-7b-v1.1,2,4566
Rupesh2/qwen_2.5_uncensored_test,0,0
hug-DJbfrj0555/Qwen3-32B-abliterated-Q3_K_S-GGUF,162,289
mradermacher/Huihui-Qwen3-30B-A3B-Thinking-2507-abliterated-i1-GGUF,2428,12115
Bradarr/Qwen2.5-0.5B-Instruct-abliterated,10,74
solidrust/Llama-3-8B-LexiFun-Uncensored-V1-AWQ,9,304
otherhalf-dev/Llama-3.3-70B-Instruct-abliterated-fp8-trt,0,0
Triangle104/Qwen2.5-3B-Instruct-abliterated-Q6_K-GGUF,6,109
mradermacher/DeepHermes-3-Llama-3-3B-Preview-abliterated-GGUF,19,2837
svjack/Genshin_Impact_Qwen_1_5_Chat_mix_roleplay_chat_lora_small,0,77
BenevolenceMessiah/Qwen2.5-Coder-32B-Instruct-abliterated-Q4_K_M-GGUF,23,289
